Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
26.5000        -5907.95     -5972.59        64.65   291.4
26.5500        -5905.05     -5972.16        67.11   302.6
26.6000        -5907.32     -5971.85        64.52   290.9
26.6500        -5904.43     -5972.79        68.36   308.2
26.7000        -5908.56     -5974.12        65.56   295.6
26.7500        -5908.43     -5975.29        66.86   301.4
26.8000        -5908.71     -5975.48        66.78   301.1
26.8500        -5908.31     -5975.25        66.95   301.8
26.9000        -5905.89     -5973.99        68.11   307.0
26.9500        -5908.36     -5973.33        64.97   292.9
27.0000        -5907.58     -5975.17        67.60   304.7
27.0500        -5913.42     -5977.00        63.58   286.7
27.1000        -5904.35     -5972.70        68.36   308.2
27.1500        -5908.84     -5975.86        67.02   302.2
27.2000        -5911.42     -5976.23        64.81   292.2
27.2500        -5906.51     -5974.75        68.24   307.6
27.3000        -5912.25     -5976.31        64.06   288.8
27.3500        -5906.19     -5976.16        69.97   315.4
27.4000        -5911.23     -5976.86        65.63   295.9
27.4500        -5907.52     -5974.30        66.79   301.1
27.5000        -5907.64     -5976.08        68.44   308.5
27.5500        -5909.80     -5974.88        65.08   293.4
