Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
20.9000        -5928.84     -5994.80        65.96   297.4
20.9500        -5926.29     -5993.01        66.71   300.8
21.0000        -5924.30     -5991.98        67.68   305.1
21.0500        -5928.93     -5993.74        64.81   292.2
21.1000        -5924.03     -5992.61        68.59   309.2
21.1500        -5922.64     -5989.99        67.35   303.6
21.2000        -5924.74     -5991.10        66.36   299.2
21.2500        -5925.00     -5990.08        65.08   293.4
21.3000        -5924.87     -5989.00        64.12   289.1
21.3500        -5925.52     -5991.45        65.93   297.2
21.4000        -5927.40     -5992.44        65.04   293.2
21.4500        -5926.61     -5994.11        67.50   304.3
21.5000        -5928.95     -5995.49        66.54   300.0
21.5500        -5926.04     -5994.02        67.98   306.5
21.6000        -5925.50     -5993.02        67.52   304.4
21.6500        -5929.12     -5994.27        65.15   293.7
21.7000        -5926.43     -5992.81        66.38   299.2
21.7500        -5923.70     -5991.59        67.89   306.1
21.8000        -5928.18     -5994.98        66.80   301.2
21.8500        -5927.85     -5996.07        68.22   307.6
21.9000        -5925.17     -5991.26        66.09   297.9
21.9500        -5928.12     -5993.95        65.84   296.8
22.0000        -5929.55     -5994.72        65.17   293.8
22.0500        -5924.52     -5993.00        68.48   308.7
22.1000        -5927.82     -5993.45        65.63   295.9
22.1500        -5923.37     -5993.07        69.69   314.2
22.2000        -5926.69     -5992.45        65.76   296.5
22.2500        -5927.67     -5994.14        66.47   299.7
22.3000        -5924.20     -5990.40        66.21   298.5
22.3500        -5926.70     -5993.01        66.32   299.0
22.4000        -5929.78     -5997.55        67.77   305.5
22.4500        -5930.52     -5996.43        65.91   297.1
22.5000        -5925.19     -5995.21        70.02   315.7
22.5500        -5928.09     -5992.99        64.90   292.6
22.6000        -5924.75     -5992.15        67.40   303.9
22.6500        -5926.91     -5992.98        66.07   297.9
22.7000        -5930.52     -5995.30        64.78   292.0
22.7500        -5925.09     -5993.00        67.92   306.2
22.8000        -5923.80     -5990.15        66.35   299.1
22.8500        -5928.07     -5994.81        66.74   300.9
22.9000        -5931.05     -5996.61        65.56   295.6
22.9500        -5924.60     -5992.73        68.13   307.2
23.0000        -5926.18     -5993.94        67.76   305.5
23.0500        -5930.06     -5997.10        67.04   302.2
23.1000        -5931.59     -5997.07        65.48   295.2
23.1500        -5929.87     -5997.81        67.94   306.3
23.2000        -5928.38     -5995.12        66.75   300.9
23.2500        -5926.19     -5992.75        66.56   300.1
23.3000        -5924.64     -5992.75        68.11   307.1
23.3500        -5929.13     -5994.44        65.31   294.4
23.4000        -5927.23     -5992.49        65.26   294.2
23.4500        -5926.56     -5991.90        65.35   294.6
23.5000        -5929.16     -5994.00        64.84   292.3
23.5500        -5925.90     -5992.41        66.51   299.9
23.6000        -5927.79     -5994.44        66.65   300.5
23.6500        -5929.09     -5995.11        66.02   297.6
23.7000        -5927.04     -5992.62        65.58   295.6
23.7500        -5925.06     -5992.61        67.55   304.5
23.8000        -5927.67     -5993.18        65.51   295.4
23.8500        -5926.12     -5993.25        67.13   302.7
23.9000        -5926.46     -5992.52        66.06   297.8
23.9500        -5928.20     -5993.33        65.13   293.6
24.0000        -5926.59     -5992.36        65.77   296.5
24.0500        -5927.37     -5993.27        65.89   297.1
24.1000        -5928.52     -5996.30        67.78   305.6
24.1500        -5930.48     -5997.17        66.69   300.7
24.2000        -5926.82     -5995.28        68.47   308.7
24.2500        -5927.72     -5994.24        66.52   299.9
24.3000        -5929.37     -5996.87        67.50   304.3
24.3500        -5929.45     -5995.91        66.47   299.7
24.4000        -5930.70     -5995.92        65.22   294.0
24.4500        -5926.92     -5994.56        67.64   305.0
24.5000        -5926.74     -5992.30        65.56   295.6
24.5500        -5927.57     -5993.75        66.18   298.4
24.6000        -5929.57     -5996.19        66.62   300.3
24.6500        -5926.80     -5993.69        66.90   301.6
24.7000        -5926.99     -5992.48        65.49   295.3
24.7500        -5930.13     -5996.23        66.09   298.0
24.8000        -5928.13     -5995.63        67.50   304.3
24.8500        -5929.09     -5995.13        66.04   297.7
