Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
14.8500     -1190583.38  -1190650.14        66.76   301.0
14.9000     -1190589.24  -1190651.23        61.99   279.5
14.9500     -1190579.48  -1190647.86        68.38   308.3
15.0000     -1190578.85  -1190645.49        66.64   300.5
15.0500     -1190579.26  -1190645.48        66.22   298.5
15.1000     -1190580.72  -1190648.37        67.65   305.0
15.1500     -1190584.16  -1190650.44        66.28   298.8
15.2000     -1190578.35  -1190647.41        69.07   311.4
15.2500     -1190580.14  -1190646.94        66.80   301.2
15.3000     -1190583.54  -1190650.06        66.52   299.9
15.3500     -1190581.93  -1190648.72        66.80   301.1
15.4000     -1190582.05  -1190649.34        67.29   303.4
15.4500     -1190584.83  -1190650.20        65.37   294.7
15.5000     -1190580.08  -1190646.23        66.14   298.2
15.5500     -1190577.33  -1190645.35        68.02   306.7
15.6000     -1190582.18  -1190647.35        65.17   293.8
15.6500     -1190578.04  -1190645.93        67.89   306.1
15.7000     -1190578.83  -1190643.53        64.71   291.7
15.7500     -1190580.24  -1190648.06        67.83   305.8
15.8000     -1190583.29  -1190648.30        65.01   293.1
15.8500     -1190577.71  -1190647.53        69.82   314.8
15.9000     -1190583.16  -1190648.96        65.80   296.7
15.9500     -1190581.58  -1190646.39        64.82   292.2
16.0000     -1190572.67  -1190643.53        70.87   319.5
16.0500     -1190579.68  -1190644.25        64.57   291.1
16.1000     -1190582.99  -1190648.08        65.08   293.4
16.1500     -1190577.57  -1190645.80        68.23   307.6
16.2000     -1190579.77  -1190646.27        66.49   299.8
16.2500     -1190582.72  -1190647.34        64.61   291.3
16.3000     -1190580.75  -1190647.51        66.75   301.0
16.3500     -1190576.84  -1190643.11        66.27   298.8
16.4000     -1190578.02  -1190643.98        65.96   297.4
16.4500     -1190578.28  -1190643.13        64.85   292.4
16.5000     -1190576.53  -1190644.33        67.80   305.7
16.5500     -1190581.12  -1190646.11        64.99   293.0
16.6000     -1190580.21  -1190646.98        66.77   301.0
16.6500     -1190580.09  -1190647.48        67.39   303.8
16.7000     -1190578.74  -1190646.86        68.11   307.1
16.7500     -1190579.92  -1190647.01        67.09   302.5
16.8000     -1190581.97  -1190647.94        65.97   297.4
16.8500     -1190579.67  -1190647.26        67.60   304.8
16.9000     -1190579.77  -1190647.40        67.63   304.9
16.9500     -1190579.88  -1190646.41        66.53   300.0
17.0000     -1190577.02  -1190644.06        67.04   302.2
17.0500     -1190579.49  -1190645.98        66.49   299.8
17.1000     -1190578.83  -1190646.70        67.87   306.0
17.1500     -1190577.90  -1190647.16        69.26   312.3
17.2000     -1190581.54  -1190649.30        67.76   305.5
17.2500     -1190582.46  -1190649.20        66.75   300.9
17.3000     -1190579.83  -1190646.73        66.89   301.6
17.3500     -1190579.02  -1190646.79        67.77   305.5
17.4000     -1190578.79  -1190648.66        69.87   315.0
17.4500     -1190581.19  -1190645.86        64.66   291.5
17.5000     -1190577.19  -1190645.40        68.21   307.5
17.5500     -1190579.53  -1190645.49        65.96   297.4
17.6000     -1190581.68  -1190648.35        66.67   300.6
17.6500     -1190580.09  -1190646.17        66.09   297.9
17.7000     -1190577.54  -1190645.51        67.97   306.4
17.7500     -1190579.39  -1190645.04        65.65   296.0
17.8000     -1190579.15  -1190645.09        65.94   297.3
17.8500     -1190578.05  -1190645.87        67.83   305.8
17.9000     -1190582.39  -1190648.39        66.01   297.6
17.9500     -1190580.82  -1190647.16        66.33   299.0
18.0000     -1190578.48  -1190644.29        65.81   296.7
18.0500     -1190577.37  -1190644.65        67.28   303.3
18.1000     -1190582.35  -1190645.84        63.49   286.2
18.1500     -1190578.22  -1190646.12        67.91   306.1
18.2000     -1190578.56  -1190645.70        67.15   302.7
18.2500     -1190581.82  -1190648.34        66.52   299.9
18.3000     -1190582.36  -1190649.62        67.26   303.2
18.3500     -1190580.82  -1190648.33        67.51   304.4
18.4000     -1190579.90  -1190645.79        65.89   297.1
